numero,nif_proveedor,importe,estado,pagado
PO-2026-0050,A46311208,9398.28,PENDIENTE,no
PO-2026-0052,B96233419,7587.64,PENDIENTE,no
PO-2026-0053,J40112358,1869.15,PENDIENTE,no
PO-2026-0054,A46990201,5791.79,PENDIENTE,no
PO-2026-0055,B90233808,4895.70,PENDIENTE,no
PO-2026-0056,A46990201,10225.66,PENDIENTE,no
PO-2026-0057,B90233808,8213.36,PENDIENTE,no
PO-2026-0058,B96233419,6410.56,PENDIENTE,no
PO-2026-0059,B91455230,8503.37,PENDIENTE,no
PO-2026-0060,B98455101,8413.00,PENDIENTE,no
PO-2026-0061,A41220987,859.40,PENDIENTE,no
PO-2026-0063,J40112358,2444.79,PENDIENTE,no
PO-2026-0064,A41220987,7560.72,PENDIENTE,no
PO-2026-0066,B46102331,7864.95,PENDIENTE,no
PO-2026-0067,B91455230,4404.13,PENDIENTE,no
PO-2026-0068,B98120774,4513.69,PENDIENTE,no
PO-2026-0069,B91455230,10269.51,PENDIENTE,no
PO-2026-0070,B30455812,7917.62,PENDIENTE,no
PO-2026-0071,B98455101,951.89,PAGADA,si
PO-2026-0072,J40112358,10002.62,PENDIENTE,no
PO-2026-0073,B98120774,550.31,PENDIENTE,no
PO-2026-0075,B98455101,6485.96,PENDIENTE,no
PO-2026-0076,B30455812,5072.55,PENDIENTE,no
PO-2026-0077,J40112358,6941.54,PENDIENTE,no
PO-2026-0078,B98120774,7621.52,PENDIENTE,no
PO-2026-0079,A41220987,1425.32,PENDIENTE,no
PO-2026-0080,B98455101,9327.74,PENDIENTE,no
PO-2026-0081,A46990201,365.09,PENDIENTE,no
PO-2026-0083,A46990201,1566.68,PENDIENTE,no
PO-2026-0084,A41220987,6199.54,PENDIENTE,no
PO-2026-0085,A46990201,4269.04,PENDIENTE,no
PO-2026-0086,B91455230,8777.45,PENDIENTE,no
PO-2026-0088,A41220987,5723.25,PENDIENTE,no
PO-2026-0089,B96233419,8904.90,PENDIENTE,no
PO-2026-0090,B30455812,6144.37,PENDIENTE,no
PO-2026-0091,B98455101,125.89,PENDIENTE,no
PO-2026-0092,J40112358,4097.48,PENDIENTE,no
PO-2026-0093,B98120774,10706.83,PENDIENTE,no
PO-2026-0094,B91455230,7519.11,PENDIENTE,no
PO-2026-0095,A46311208,2852.45,PENDIENTE,no
PO-2026-0096,B46102331,3012.89,PENDIENTE,no
PO-2026-0097,B90233808,6945.79,PENDIENTE,no
PO-2026-0098,J40112358,3079.16,PENDIENTE,no
PO-2026-0099,B96233419,2446.74,PENDIENTE,no
PO-2026-0100,A46990201,1238.36,PENDIENTE,no
PO-2026-0101,B30455812,5679.29,PENDIENTE,no
PO-2026-0102,J40112358,1071.01,PENDIENTE,no
PO-2026-0103,J40112358,2495.21,PENDIENTE,no
PO-2026-0104,B96233419,5831.38,PENDIENTE,no
PO-2026-0105,B98120774,850.78,PENDIENTE,no
PO-2026-0106,B96233419,9475.67,PENDIENTE,no
PO-2026-0107,B98455101,3818.23,PENDIENTE,no
PO-2026-0108,B96233419,7415.85,PENDIENTE,no
PO-2026-0109,A46990201,185.55,PENDIENTE,no
PO-2026-0110,B30455812,1812.94,PENDIENTE,no
PO-2026-0111,B90233808,1974.90,PENDIENTE,no
PO-2026-0112,B96233419,8584.42,PENDIENTE,no
PO-2026-0113,A41220987,9521.80,PENDIENTE,no
PO-2026-0114,B91455230,481.71,PENDIENTE,no
PO-2026-0115,B46102331,5099.48,PENDIENTE,no
PO-2026-0116,B96233419,4579.11,PENDIENTE,no
PO-2026-0117,B90233808,3142.73,PENDIENTE,no
PO-2026-0118,B96233419,6446.73,PENDIENTE,no
PO-2026-0119,A41220987,8819.71,PENDIENTE,no
PO-2026-0121,A46990201,9699.75,PENDIENTE,no
PO-2026-0122,B30455812,7221.86,PENDIENTE,no
PO-2026-0123,B98455101,5846.53,PENDIENTE,no
PO-2026-0124,B90233808,7531.42,PENDIENTE,no
PO-2026-0126,J40112358,2534.90,PENDIENTE,no
PO-2026-0127,A46990201,10333.29,PENDIENTE,no
PO-2026-0128,B96233419,10613.10,PENDIENTE,no
PO-2026-0129,J40112358,6073.40,PENDIENTE,no
PO-2026-0130,B91455230,2049.05,PENDIENTE,no
PO-2026-0131,B90233808,8963.70,PENDIENTE,no
PO-2026-0132,B30455812,6953.04,PENDIENTE,no
PO-2026-0133,A46990201,736.77,PENDIENTE,no
PO-2026-0134,B30455812,3087.51,PENDIENTE,no
PO-2026-0136,B98455101,5471.66,PENDIENTE,no
PO-2026-0137,B91455230,5296.69,PENDIENTE,no
PO-2026-0138,A41220987,3398.50,PENDIENTE,no
PO-2026-0139,B91455230,7923.56,PENDIENTE,no
PO-2026-0141,B98120774,4049.79,PENDIENTE,no
PO-2026-0142,B91455230,5706.48,PENDIENTE,no
PO-2026-0143,A46990201,8103.15,PENDIENTE,no
PO-2026-0144,A41220987,2967.25,PENDIENTE,no
PO-2026-0145,B98120774,7714.19,PENDIENTE,no
PO-2026-0146,A46990201,1481.23,PENDIENTE,no
PO-2026-0147,B30455812,8920.10,PENDIENTE,no
PO-2026-0148,A41220987,4763.93,PENDIENTE,no
PO-2026-0149,A46990201,3613.37,PENDIENTE,no
PO-2026-0150,B98455101,10716.22,PENDIENTE,no
PO-2026-0151,A41220987,10244.76,PENDIENTE,no
PO-2026-0152,B90233808,5217.25,PENDIENTE,no
PO-2026-0153,A41220987,4485.20,PENDIENTE,no
PO-2026-0154,B96233419,4563.01,PENDIENTE,no
PO-2026-0155,B96233419,6679.30,PENDIENTE,no
PO-2026-0156,B90233808,1870.09,PENDIENTE,no
PO-2026-0157,B90233808,7577.77,PENDIENTE,no
PO-2026-0158,B98455101,4507.37,PENDIENTE,no
PO-2026-0159,B91455230,3603.60,PENDIENTE,no
PO-2026-0160,J40112358,4902.77,PENDIENTE,no
PO-2026-0161,B96233419,2826.71,PENDIENTE,no
PO-2026-0162,B96233419,9799.71,PENDIENTE,no
PO-2026-0163,B96233419,1635.39,PENDIENTE,no
PO-2026-0164,B46102331,3531.16,PENDIENTE,no
PO-2026-0165,B91455230,2897.36,PENDIENTE,no
PO-2026-0166,B46102331,4609.08,PENDIENTE,no
PO-2026-0167,J40112358,7955.25,PENDIENTE,no
PO-2026-0168,J40112358,555.70,PENDIENTE,no
PO-2026-0169,B90233808,541.49,PENDIENTE,no
PO-2026-0170,B98455101,3581.49,PENDIENTE,no
PO-2026-0171,B30455812,10629.86,PENDIENTE,no
PO-2026-0172,A46990201,4625.04,PENDIENTE,no
PO-2026-0173,B91455230,8970.90,PENDIENTE,no
PO-2026-0174,B90233808,7319.99,PENDIENTE,no
PO-2026-0175,B96233419,809.10,PENDIENTE,no
PO-2026-0176,J40112358,7486.85,PENDIENTE,no
PO-2026-0177,B96233419,4635.26,PENDIENTE,no
PO-2026-0179,B46102331,10391.73,PENDIENTE,no
PO-2026-0180,B98455101,1630.35,PENDIENTE,no
PO-2026-0181,A46990201,4881.84,PENDIENTE,no
PO-2026-0182,B91455230,7706.48,PENDIENTE,no
PO-2026-0183,B96233419,7022.08,PENDIENTE,no
PO-2026-0184,B90233808,1047.51,PENDIENTE,no
PO-2026-0185,B90233808,9910.67,PENDIENTE,no
PO-2026-0186,B98120774,4807.02,PENDIENTE,no
PO-2026-0187,B98455101,1281.64,PENDIENTE,no
PO-2026-0188,B46102331,1030.52,PENDIENTE,no
PO-2026-0189,B30455812,3349.33,PENDIENTE,no
PO-2026-0190,J40112358,1154.04,PENDIENTE,no
PO-2026-0191,B46102331,7014.56,PENDIENTE,no
PO-2026-0192,B96233419,2873.25,PENDIENTE,no
PO-2026-0193,B90233808,9261.24,PENDIENTE,no
PO-2026-0194,A41220987,10707.36,PENDIENTE,no
PO-2026-0195,A46990201,5681.76,PENDIENTE,no
PO-2026-0196,B30455812,218.79,PENDIENTE,no
PO-2026-0197,A46990201,6570.88,PENDIENTE,no
PO-2026-0199,B96233419,2464.71,PENDIENTE,no
PO-2026-0200,B90233808,3935.94,PENDIENTE,no
PO-2026-0201,B90233808,8896.46,PENDIENTE,no
PO-2026-0202,J40112358,7767.75,PENDIENTE,no
PO-2026-0203,J40112358,5127.99,PENDIENTE,no
PO-2026-0204,B98455101,5513.53,PENDIENTE,no
PO-2026-0205,B30455812,10030.69,PENDIENTE,no
PO-2026-0206,A46990201,9605.22,PENDIENTE,no
PO-2026-0207,B96233419,8256.19,PENDIENTE,no
PO-2026-0208,A41220987,10526.76,PENDIENTE,no
PO-2026-0209,A46990201,1709.68,PENDIENTE,no
PO-2026-0210,B98120774,9713.78,PENDIENTE,no
PO-2026-0211,B98455101,930.66,PENDIENTE,no
PO-2026-0213,A46990201,7144.28,PENDIENTE,no
PO-2026-0214,A41220987,10125.39,PENDIENTE,no
PO-2026-0215,B91455230,10294.32,PENDIENTE,no
PO-2026-0216,B98455101,3157.76,PENDIENTE,no
PO-2026-0217,J40112358,2802.51,PENDIENTE,no
PO-2026-0218,A46311208,3758.01,PENDIENTE,no
PO-2026-0219,A46990201,10839.94,PENDIENTE,no
PO-2026-0220,A46311208,2784.62,PENDIENTE,no
PO-2026-0221,B90233808,2559.32,PENDIENTE,no
PO-2026-0222,J40112358,1705.37,PENDIENTE,no
PO-2026-0223,B91455230,7327.12,PENDIENTE,no
PO-2026-0224,A46311208,6076.67,PENDIENTE,no
PO-2026-0225,B30455812,9468.86,PENDIENTE,no
PO-2026-0226,B46102331,9837.02,PENDIENTE,no
PO-2026-0227,B90233808,8074.10,PENDIENTE,no
PO-2026-0228,B91455230,1280.77,PENDIENTE,no
PO-2026-0229,B30455812,3980.85,PENDIENTE,no
PO-2026-0231,B98455101,9610.92,PENDIENTE,no
PO-2026-0232,B90233808,4699.81,PENDIENTE,no
PO-2026-0233,B90233808,4977.71,PENDIENTE,no
PO-2026-0234,B30455812,8586.93,PENDIENTE,no
PO-2026-0236,A46990201,6777.96,PENDIENTE,no
PO-2026-0238,A41220987,9661.77,PENDIENTE,no
PO-2026-0239,A46990201,6822.49,PENDIENTE,no
PO-2026-0240,A41220987,8993.85,PENDIENTE,no
PO-2026-0241,B96233419,10837.51,PENDIENTE,no
PO-2026-0242,J40112358,6880.08,PENDIENTE,no
PO-2026-0243,B98455101,8840.34,PENDIENTE,no
PO-2026-0246,A41220987,5315.22,PENDIENTE,no
PO-2026-0247,B30455812,5712.39,PENDIENTE,no
PO-2026-0248,B91455230,1633.68,PENDIENTE,no
PO-2026-0249,J40112358,2872.55,PENDIENTE,no
PO-2026-0250,B98120774,4133.98,PENDIENTE,no
PO-2026-0251,J40112358,8829.55,PENDIENTE,no
PO-2026-0252,A41220987,3841.83,PENDIENTE,no
PO-2026-0253,B98455101,10079.53,PENDIENTE,no
PO-2026-0254,B30455812,8956.86,PENDIENTE,no
PO-2026-0255,J40112358,2706.64,PENDIENTE,no
PO-2026-0256,B96233419,8245.02,PENDIENTE,no
PO-2026-0257,B98455101,600.54,PENDIENTE,no
PO-2026-0258,B46102331,7312.91,PENDIENTE,no
PO-2026-0259,B98120774,6549.12,PENDIENTE,no
PO-2026-0260,B96233419,8332.24,PENDIENTE,no
PO-2026-0261,B96233419,9872.00,PENDIENTE,no
PO-2026-0262,B98120774,609.01,PENDIENTE,no
PO-2026-0263,B98120774,7484.25,PENDIENTE,no
PO-2026-0264,B90233808,5131.77,PENDIENTE,no
PO-2026-0265,A46990201,7379.62,PENDIENTE,no
PO-2026-0266,B98120774,5039.34,PENDIENTE,no
PO-2026-0267,B90233808,5152.75,PENDIENTE,no
PO-2026-0268,B46102331,8139.39,PENDIENTE,no
PO-2026-0269,B96233419,3405.46,PENDIENTE,no
PO-2026-0270,B98120774,2771.44,PENDIENTE,no
PO-2026-0271,A46990201,4956.41,PENDIENTE,no
PO-2026-0273,B91455230,901.70,PENDIENTE,no
PO-2026-0275,A46990201,8854.09,PENDIENTE,no
PO-2026-0276,B46102331,1380.63,PENDIENTE,no
PO-2026-0277,B91455230,2307.36,PENDIENTE,no
PO-2026-0278,B46102331,3630.97,PENDIENTE,no
PO-2026-0279,B46102331,9018.48,PENDIENTE,no
PO-2026-0281,B46102331,1220.99,PENDIENTE,no
PO-2026-0282,B98455101,3605.40,PENDIENTE,no
PO-2026-0283,B98455101,10868.04,PENDIENTE,no
PO-2026-0284,J40112358,5587.01,PENDIENTE,no
PO-2026-0285,B46102331,5881.35,PENDIENTE,no
PO-2026-0286,J40112358,5006.46,PENDIENTE,no
PO-2026-0288,B46102331,6927.00,PENDIENTE,no
PO-2026-0289,B30455812,8339.63,PENDIENTE,no
PO-2026-0290,B91455230,4510.40,PENDIENTE,no
PO-2026-0291,B98120774,3587.81,PENDIENTE,no
PO-2026-0292,A46990201,1453.81,PENDIENTE,no
PO-2026-0293,B98120774,258.82,PENDIENTE,no
PO-2026-0294,B46102331,4435.57,PENDIENTE,no
PO-2026-0295,B90233808,7420.08,PENDIENTE,no
PO-2026-0296,B98120774,3642.55,PENDIENTE,no
PO-2026-0298,A41220987,4032.22,PENDIENTE,no
PO-2026-0299,J40112358,6816.61,PENDIENTE,no
PO-2026-0300,B30455812,3211.70,PENDIENTE,no
PO-2026-0301,B91455230,9224.19,PENDIENTE,no
PO-2026-0302,J40112358,2649.69,PENDIENTE,no
PO-2026-0303,B91455230,7299.02,PENDIENTE,no
PO-2026-0304,B46102331,8602.19,PENDIENTE,no
PO-2026-0305,B30455812,926.56,PENDIENTE,no
PO-2026-0306,A46990201,322.74,PENDIENTE,no
PO-2026-0307,A41220987,3769.84,PENDIENTE,no
PO-2026-0308,B91455230,2044.84,PENDIENTE,no
PO-2026-0310,B30455812,1189.60,PENDIENTE,no
PO-2026-0311,B98455101,2316.97,PENDIENTE,no
PO-2026-0312,A41220987,10252.14,PENDIENTE,no
PO-2026-0313,J40112358,3187.82,PENDIENTE,no
PO-2026-0315,A41220987,3060.79,PENDIENTE,no
PO-2026-0316,B30455812,444.02,PENDIENTE,no
PO-2026-0317,B90233808,313.93,PENDIENTE,no
PO-2026-0318,J40112358,3068.23,PENDIENTE,no
PO-2026-0319,A41220987,4921.83,PENDIENTE,no
PO-2026-0320,A41220987,2276.84,PENDIENTE,no
PO-2026-0321,B98120774,1421.56,PENDIENTE,no
PO-2026-0322,B46102331,831.91,PENDIENTE,no
PO-2026-0323,B96233419,1374.77,PENDIENTE,no
PO-2026-0324,A41220987,8305.57,PENDIENTE,no
PO-2026-0325,J40112358,5643.04,PENDIENTE,no
PO-2026-0326,B90233808,589.46,PENDIENTE,no
PO-2026-0327,B30455812,765.54,PENDIENTE,no
PO-2026-0328,A41220987,2445.65,PENDIENTE,no
PO-2026-0329,B96233419,2505.69,PENDIENTE,no
PO-2026-0330,A41220987,9177.14,PENDIENTE,no
PO-2026-0331,B90233808,2971.05,PENDIENTE,no
PO-2026-0332,B91455230,8467.45,PENDIENTE,no
PO-2026-0333,B30455812,10409.16,PENDIENTE,no
PO-2026-0334,B98455101,4616.57,PENDIENTE,no
PO-2026-0335,B91455230,2457.66,PENDIENTE,no
PO-2026-0337,B91455230,1025.26,PENDIENTE,no
PO-2026-0338,B98455101,8031.76,PENDIENTE,no
PO-2026-0339,B90233808,6114.09,PENDIENTE,no
PO-2026-0340,B98120774,5972.57,PENDIENTE,no
PO-2026-0341,B46102331,295.87,PENDIENTE,no
PO-2026-0342,B30455812,5463.79,PENDIENTE,no
PO-2026-0344,B98120774,2899.09,PENDIENTE,no
PO-2026-0345,B98120774,4563.49,PENDIENTE,no
PO-2026-0346,B46102331,10012.48,PENDIENTE,no
PO-2026-0347,B30455812,3387.95,PENDIENTE,no
PO-2026-0348,A41220987,2057.91,PENDIENTE,no
PO-2026-0349,B98120774,262.74,PENDIENTE,no
PO-2026-0350,B98455101,5760.11,PENDIENTE,no
PO-2026-0351,B46102331,3474.74,PENDIENTE,no
PO-2026-0352,B96233419,1027.21,PENDIENTE,no
PO-2026-0353,B96233419,1724.77,PENDIENTE,no
PO-2026-0354,A41220987,6341.13,PENDIENTE,no
PO-2026-0356,A46990201,4941.24,PENDIENTE,no
PO-2026-0358,J40112358,3624.87,PENDIENTE,no
PO-2026-0359,B96233419,5803.12,PENDIENTE,no
PO-2026-0360,B91455230,3961.15,PENDIENTE,no
PO-2026-0362,B91455230,8380.61,PENDIENTE,no
PO-2026-0363,B30455812,9605.81,PENDIENTE,no
PO-2026-0364,B91455230,1086.71,PENDIENTE,no
PO-2026-0365,A46990201,5823.10,PENDIENTE,no
PO-2026-0367,B91455230,4819.83,PENDIENTE,no
PO-2026-0368,J40112358,1378.75,PENDIENTE,no
PO-2026-0369,A46990201,3169.55,PENDIENTE,no
PO-2026-0372,B91455230,8480.95,PENDIENTE,no
PO-2026-0373,B30455812,6757.38,PENDIENTE,no
PO-2026-0374,B90233808,9511.10,PENDIENTE,no
PO-2026-0375,B30455812,7060.56,PENDIENTE,no
PO-2026-0377,B46102331,9481.81,PENDIENTE,no
PO-2026-0379,B46102331,8107.54,PENDIENTE,no
PO-2026-0381,A41220987,6313.21,PENDIENTE,no
PO-2026-0382,A41220987,4995.44,PENDIENTE,no
PO-2026-0383,A41220987,3536.27,PENDIENTE,no
PO-2026-0384,B90233808,535.35,PENDIENTE,no
PO-2026-0385,B30455812,5255.42,PENDIENTE,no
PO-2026-0387,B98120774,3326.22,PENDIENTE,no
PO-2026-0388,B91455230,1611.87,PENDIENTE,no
PO-2026-0389,B91455230,10868.79,PENDIENTE,no
PO-2026-0390,B30455812,6535.08,PENDIENTE,no
PO-2026-0391,A46990201,3604.80,PENDIENTE,no
PO-2026-0392,B90233808,6174.96,PENDIENTE,no
PO-2026-0393,B98455101,4448.34,PENDIENTE,no
PO-2026-0394,B91455230,2359.00,PENDIENTE,no
PO-2026-0395,A46990201,2936.19,PENDIENTE,no
PO-2026-0396,B91455230,2098.54,PENDIENTE,no
PO-2026-0397,B96233419,4587.55,PENDIENTE,no
PO-2026-0398,B30455812,4316.18,PENDIENTE,no
PO-2026-0399,B46102331,9831.70,PENDIENTE,no
PO-2026-0402,A46990201,7223.40,PENDIENTE,no
PO-2026-0403,A46990201,4290.65,PENDIENTE,no
PO-2026-0404,B90233808,1719.01,PENDIENTE,no
PO-2026-0405,A46990201,1166.97,PENDIENTE,no
PO-2026-0407,B98120774,1921.19,PENDIENTE,no
PO-2026-0409,B98120774,8396.94,PENDIENTE,no
PO-2026-0410,B46102331,8091.65,PENDIENTE,no
PO-2026-0411,A41220987,353.96,PENDIENTE,no
PO-2026-0412,B46102331,6433.78,PENDIENTE,no
PO-2026-0413,B46102331,9375.94,PENDIENTE,no
PO-2026-0414,B98120774,2077.03,PENDIENTE,no
PO-2026-0415,B96233419,5351.50,PENDIENTE,no
PO-2026-0416,B96233419,7633.04,PENDIENTE,no
PO-2026-0417,B98120774,1406.65,PENDIENTE,no
PO-2026-0419,A41220987,1777.99,PENDIENTE,no
PO-2026-0420,J40112358,6670.57,PENDIENTE,no
PO-2026-0421,B46102331,3068.87,PENDIENTE,no
PO-2026-0422,A46990201,8158.61,PENDIENTE,no
PO-2026-0423,J40112358,10453.02,PENDIENTE,no
PO-2026-0424,B30455812,4581.22,PENDIENTE,no
PO-2026-0425,B46102331,7891.15,PENDIENTE,no
PO-2026-0426,B30455812,4657.82,PENDIENTE,no
PO-2026-0427,B98120774,10254.83,PENDIENTE,no
PO-2026-0428,B90233808,5240.92,PENDIENTE,no
PO-2026-0429,B98120774,4023.73,PENDIENTE,no
PO-2026-0430,B90233808,9976.09,PENDIENTE,no
PO-2026-0431,B98120774,8751.43,PENDIENTE,no
PO-2026-0432,B96233419,5530.16,PENDIENTE,no
PO-2026-0433,B96233419,6586.55,PENDIENTE,no
PO-2026-0434,B30455812,6436.75,PENDIENTE,no
PO-2026-0435,B46102331,9846.47,PENDIENTE,no
PO-2026-0436,B96233419,962.26,PENDIENTE,no
PO-2026-0437,B98455101,4855.28,PENDIENTE,no
PO-2026-0438,B98120774,9618.18,PENDIENTE,no
PO-2026-0439,B98455101,3392.74,PENDIENTE,no
PO-2026-0440,B46102331,8744.16,PENDIENTE,no
PO-2026-0441,B98455101,5297.94,PENDIENTE,no
PO-2026-0442,B98455101,7866.43,PENDIENTE,no
PO-2026-0443,B91455230,8617.09,PENDIENTE,no
PO-2026-0444,A41220987,1899.02,PENDIENTE,no
PO-2026-0445,B98120774,8775.14,PENDIENTE,no
PO-2026-0446,B46102331,1166.03,PENDIENTE,no
PO-2026-0447,B30455812,8945.05,PENDIENTE,no
PO-2026-0448,B98120774,5115.42,PENDIENTE,no
PO-2026-0449,B46102331,10869.07,PENDIENTE,no
PO-2026-0450,B91455230,9527.04,PENDIENTE,no
PO-2026-0451,A41220987,10564.53,PENDIENTE,no
PO-2026-0452,B46102331,5030.16,PENDIENTE,no
PO-2026-0454,B90233808,10541.08,PENDIENTE,no
PO-2026-0455,A41220987,7050.83,PENDIENTE,no
PO-2026-0456,A41220987,10062.13,PENDIENTE,no
PO-2026-0457,J40112358,5015.79,PENDIENTE,no
PO-2026-0458,B98455101,10063.73,PENDIENTE,no
PO-2026-0459,B98120774,5573.45,PENDIENTE,no
PO-2026-0460,B98120774,2850.03,PENDIENTE,no
PO-2026-0461,B46102331,10829.54,PENDIENTE,no
PO-2026-0462,B91455230,5993.96,PENDIENTE,no
PO-2026-0463,J40112358,9597.20,PENDIENTE,no
PO-2026-0464,A41220987,8074.31,PENDIENTE,no
PO-2026-0465,A41220987,9908.18,PENDIENTE,no
PO-2026-0467,B46102331,6649.23,PENDIENTE,no
PO-2026-0468,B46102331,7606.80,PENDIENTE,no
PO-2026-0469,B46102331,5817.98,PENDIENTE,no
PO-2026-0470,A46990201,5335.70,PENDIENTE,no
PO-2026-0471,B30455812,1449.86,PAGADA,si
PO-2026-0472,A46990201,3388.18,PAGADA,si
PO-2026-0473,B90233808,2083.37,PAGADA,si
PO-2026-0474,J40112358,1388.33,PAGADA,si
PO-2026-0475,B46102331,398.04,PAGADA,si
PO-2026-0476,A41220987,2551.64,PAGADA,si
PO-2026-0477,B98120774,1240.84,PENDIENTE,no
PO-2026-0478,B98120774,1564.38,PENDIENTE,no
PO-2026-0479,B98120774,459.33,PENDIENTE,no
PO-2026-0480,B90233808,524.98,PENDIENTE,no
PO-2026-0481,B90233808,1135.20,PENDIENTE,no
PO-2026-0482,B98120774,1426.40,PENDIENTE,no
PO-2026-0483,B98120774,1855.57,PENDIENTE,no
PO-2026-0484,B90233808,2055.48,PENDIENTE,no
PO-2026-0485,B90233808,1009.43,PENDIENTE,no
PO-2026-0486,B90233808,268.08,PENDIENTE,no
PO-2026-0487,B90233808,1518.79,PENDIENTE,no
PO-2026-0488,B98120774,877.63,PENDIENTE,no
PO-2026-0489,B90233808,1410.74,PENDIENTE,no
PO-2026-0490,B90233808,2644.36,PENDIENTE,no
PO-2026-0491,B98120774,2229.30,PENDIENTE,no
PO-2026-0492,B96233419,1512.50,PENDIENTE,no
PO-2026-0493,A46990201,12847.40,PENDIENTE,no
PO-2026-0494,A41220987,3799.40,PENDIENTE,no
PO-2026-0495,B91455230,1137.40,PENDIENTE,no
PO-2026-0496,B30455812,3630.00,PENDIENTE,no
PO-2026-0497,A46311208,84700.00,PENDIENTE,no
PO-2026-0498,B90233808,2395.80,PENDIENTE,no
PO-2026-0538,,234.98,PENDIENTE,no
PO-2026-0539,,2155.97,PENDIENTE,no
PO-2026-0540,,2842.92,PENDIENTE,no
PO-2026-0541,,1457.75,PENDIENTE,no
PO-2026-0542,,4108.00,PENDIENTE,no
PO-2026-0543,,473.70,PENDIENTE,no
PO-2026-0544,,4702.06,PENDIENTE,no
PO-2026-0545,,4061.76,PENDIENTE,no
PO-2026-0546,,2738.78,PENDIENTE,no
PO-2026-0547,,4340.98,PENDIENTE,no
PO-2026-0548,,3517.50,PENDIENTE,no
PO-2026-0549,,1596.38,PENDIENTE,no
PO-2026-0550,,676.94,PENDIENTE,no
PO-2026-0551,,1124.05,PENDIENTE,no
PO-2026-0552,,236.06,PENDIENTE,no
PO-2026-0553,,1027.83,PENDIENTE,no
PO-2026-0554,,2465.93,PENDIENTE,no
PO-2026-0555,,1305.27,PENDIENTE,no
PO-2026-0556,,4969.84,PENDIENTE,no
PO-2026-0557,,2508.08,PENDIENTE,no
PO-2026-0701,A41220987,3170.20,PENDIENTE,no
PO-2026-0702,A46990201,10125.30,PENDIENTE,no
PO-2026-0703,B98120774,1802.90,PAGADA,si
PO-2026-0704,B30455812,5082.00,PENDIENTE,no
PO-2026-0705,B91455230,1306.80,PENDIENTE,no
PO-2026-0707,B96233419,2795.10,PENDIENTE,no
PO-2026-0708,B98455101,4549.60,PENDIENTE,no
PO-2026-0710,J40112358,1040.60,PENDIENTE,no
PO-2026-0711,A46311208,6195.20,PENDIENTE,no
PO-2026-0712,B90233808,520.30,PENDIENTE,no
PO-2026-0713,A46990201,2262.70,PENDIENTE,no
PO-2026-0715,B46102331,8100.10,PENDIENTE,no
