Pedido,ProveedorID,NIF,Importe_Total,Estado,Fecha_Pedido
PO-2026-0046,P006,A46990201,10631.48,ABIERTO,2026-05-02
PO-2026-0047,P003,B30455812,8968.389999999999,ABIERTO,2026-02-03
PO-2026-0048,P011,B90233808,1111.74,ABIERTO,2026-02-05
PO-2026-0049,P003,B30455812,6873.94,ABIERTO,2026-06-04
PO-2026-0050,P009,A46311208,9398.280000000001,ABIERTO,2026-03-12
PO-2026-0052,P005,B96233419,7587.64,ABIERTO,2026-06-01
PO-2026-0053,P007,J40112358,1869.15,ABIERTO,2026-07-22
PO-2026-0054,P006,A46990201,5791.79,ABIERTO,2026-07-02
PO-2026-0055,P011,B90233808,4895.7,ABIERTO,2026-02-16
PO-2026-0056,P006,A46990201,10225.66,ABIERTO,2026-06-29
PO-2026-0057,P011,B90233808,8213.360000000001,ABIERTO,2026-03-19
PO-2026-0058,P005,B96233419,6410.56,ABIERTO,2026-07-31
PO-2026-0059,P008,B91455230,8503.370000000001,ABIERTO,2026-07-19
PO-2026-0060,P010,B98455101,8413,ABIERTO,2026-07-27
PO-2026-0061,P002,A41220987,859.4,ABIERTO,2026-01-12
PO-2026-0063,P007,J40112358,2444.79,ABIERTO,2026-04-06
PO-2026-0064,P002,A41220987,7560.72,ABIERTO,2026-03-16
PO-2026-0066,P001,B46102331,7864.95,ABIERTO,2026-03-24
PO-2026-0067,P008,B91455230,4404.13,ABIERTO,2026-07-21
PO-2026-0068,P004,B98120774,4513.69,ABIERTO,2026-04-12
PO-2026-0069,P008,B91455230,10269.51,ABIERTO,2026-05-26
PO-2026-0070,P003,B30455812,7917.62,ABIERTO,2026-01-15
PO-2026-0071,P010,B98455101,951.89,ABIERTO,2026-05-24
PO-2026-0072,P007,J40112358,10002.62,ABIERTO,2026-03-10
PO-2026-0073,P004,B98120774,550.3099999999999,ABIERTO,2026-04-30
PO-2026-0075,P010,B98455101,6485.96,ABIERTO,2026-02-27
PO-2026-0076,P003,B30455812,5072.55,ABIERTO,2026-04-03
PO-2026-0077,P007,J40112358,6941.54,ABIERTO,2026-03-08
PO-2026-0078,P004,B98120774,7621.52,ABIERTO,2026-07-22
PO-2026-0079,P002,A41220987,1425.32,ABIERTO,2026-07-19
PO-2026-0080,P010,B98455101,9327.74,ABIERTO,2026-06-24
PO-2026-0081,P006,A46990201,365.09,ABIERTO,2026-03-17
PO-2026-0083,P006,A46990201,1566.68,ABIERTO,2026-06-30
PO-2026-0084,P002,A41220987,6199.54,ABIERTO,2026-03-21
PO-2026-0085,P006,A46990201,4269.04,ABIERTO,2026-04-11
PO-2026-0086,P008,B91455230,8777.450000000001,ABIERTO,2026-02-20
PO-2026-0088,P002,A41220987,5723.25,ABIERTO,2026-05-15
PO-2026-0089,P005,B96233419,8904.9,ABIERTO,2026-05-15
PO-2026-0090,P003,B30455812,6144.37,ABIERTO,2026-02-25
PO-2026-0091,P010,B98455101,125.89,ABIERTO,2026-06-21
PO-2026-0092,P007,J40112358,4097.48,ABIERTO,2026-02-11
PO-2026-0093,P004,B98120774,10706.83,ABIERTO,2026-05-10
PO-2026-0094,P008,B91455230,7519.11,ABIERTO,2026-06-30
PO-2026-0095,P009,A46311208,2852.45,ABIERTO,2026-05-24
PO-2026-0096,P001,B46102331,3012.89,ABIERTO,2026-01-08
PO-2026-0097,P011,B90233808,6945.79,ABIERTO,2026-05-27
PO-2026-0098,P007,J40112358,3079.16,ABIERTO,2026-02-21
PO-2026-0099,P005,B96233419,2446.74,ABIERTO,2026-01-25
PO-2026-0100,P006,A46990201,1238.36,ABIERTO,2026-05-04
PO-2026-0101,P003,B30455812,5679.29,ABIERTO,2026-04-17
PO-2026-0102,P007,J40112358,1071.01,ABIERTO,2026-06-21
PO-2026-0103,P007,J40112358,2495.21,ABIERTO,2026-02-10
PO-2026-0104,P005,B96233419,5831.38,ABIERTO,2026-06-15
PO-2026-0105,P004,B98120774,850.78,ABIERTO,2026-07-29
PO-2026-0106,P005,B96233419,9475.67,ABIERTO,2026-07-02
PO-2026-0107,P010,B98455101,3818.23,ABIERTO,2026-07-17
PO-2026-0108,P005,B96233419,7415.85,ABIERTO,2026-07-09
PO-2026-0109,P006,A46990201,185.55,ABIERTO,2026-07-05
PO-2026-0110,P003,B30455812,1812.94,ABIERTO,2026-01-25
PO-2026-0111,P011,B90233808,1974.9,ABIERTO,2026-01-27
PO-2026-0112,P005,B96233419,8584.42,ABIERTO,2026-03-23
PO-2026-0113,P002,A41220987,9521.799999999999,ABIERTO,2026-05-17
PO-2026-0114,P008,B91455230,481.71,ABIERTO,2026-03-20
PO-2026-0115,P001,B46102331,5099.48,ABIERTO,2026-03-27
PO-2026-0116,P005,B96233419,4579.11,ABIERTO,2026-01-28
PO-2026-0117,P011,B90233808,3142.73,ABIERTO,2026-06-05
PO-2026-0118,P005,B96233419,6446.73,ABIERTO,2026-01-09
PO-2026-0119,P002,A41220987,8819.709999999999,ABIERTO,2026-05-14
PO-2026-0121,P006,A46990201,9699.75,ABIERTO,2026-03-10
PO-2026-0122,P003,B30455812,7221.86,ABIERTO,2026-04-01
PO-2026-0123,P010,B98455101,5846.53,ABIERTO,2026-05-13
PO-2026-0124,P011,B90233808,7531.42,ABIERTO,2026-06-16
PO-2026-0126,P007,J40112358,2534.9,ABIERTO,2026-05-20
PO-2026-0127,P006,A46990201,10333.29,ABIERTO,2026-05-22
PO-2026-0128,P005,B96233419,10613.1,ABIERTO,2026-05-27
PO-2026-0129,P007,J40112358,6073.4,ABIERTO,2026-06-13
PO-2026-0130,P008,B91455230,2049.05,ABIERTO,2026-02-02
PO-2026-0131,P011,B90233808,8963.700000000001,ABIERTO,2026-05-18
PO-2026-0132,P003,B30455812,6953.04,ABIERTO,2026-04-28
PO-2026-0133,P006,A46990201,736.77,ABIERTO,2026-06-30
PO-2026-0134,P003,B30455812,3087.51,ABIERTO,2026-06-12
PO-2026-0136,P010,B98455101,5471.66,ABIERTO,2026-03-04
PO-2026-0137,P008,B91455230,5296.69,ABIERTO,2026-02-05
PO-2026-0138,P002,A41220987,3398.5,ABIERTO,2026-01-31
PO-2026-0139,P008,B91455230,7923.56,ABIERTO,2026-01-28
PO-2026-0141,P004,B98120774,4049.79,ABIERTO,2026-02-21
PO-2026-0142,P008,B91455230,5706.48,ABIERTO,2026-05-26
PO-2026-0143,P006,A46990201,8103.15,ABIERTO,2026-02-12
PO-2026-0144,P002,A41220987,2967.25,ABIERTO,2026-01-14
PO-2026-0145,P004,B98120774,7714.19,ABIERTO,2026-05-16
PO-2026-0146,P006,A46990201,1481.23,ABIERTO,2026-07-03
PO-2026-0147,P003,B30455812,8920.1,ABIERTO,2026-01-13
PO-2026-0148,P002,A41220987,4763.93,ABIERTO,2026-02-07
PO-2026-0149,P006,A46990201,3613.37,ABIERTO,2026-07-30
PO-2026-0150,P010,B98455101,10716.22,ABIERTO,2026-06-03
PO-2026-0151,P002,A41220987,10244.76,ABIERTO,2026-01-09
PO-2026-0152,P011,B90233808,5217.25,ABIERTO,2026-03-04
PO-2026-0153,P002,A41220987,4485.2,ABIERTO,2026-05-18
PO-2026-0154,P005,B96233419,4563.01,ABIERTO,2026-05-28
PO-2026-0155,P005,B96233419,6679.3,ABIERTO,2026-01-30
PO-2026-0156,P011,B90233808,1870.09,ABIERTO,2026-07-29
PO-2026-0157,P011,B90233808,7577.77,ABIERTO,2026-03-27
PO-2026-0158,P010,B98455101,4507.37,ABIERTO,2026-04-27
PO-2026-0159,P008,B91455230,3603.6,ABIERTO,2026-03-20
PO-2026-0160,P007,J40112358,4902.77,ABIERTO,2026-02-11
PO-2026-0161,P005,B96233419,2826.71,ABIERTO,2026-01-18
PO-2026-0162,P005,B96233419,9799.709999999999,ABIERTO,2026-02-20
PO-2026-0163,P005,B96233419,1635.39,ABIERTO,2026-06-10
PO-2026-0164,P001,B46102331,3531.16,ABIERTO,2026-06-18
PO-2026-0165,P008,B91455230,2897.36,ABIERTO,2026-03-05
PO-2026-0166,P001,B46102331,4609.08,ABIERTO,2026-06-07
PO-2026-0167,P007,J40112358,7955.25,ABIERTO,2026-01-11
PO-2026-0168,P007,J40112358,555.7,ABIERTO,2026-02-05
PO-2026-0169,P011,B90233808,541.49,ABIERTO,2026-05-01
PO-2026-0170,P010,B98455101,3581.49,ABIERTO,2026-03-03
PO-2026-0171,P003,B30455812,10629.86,ABIERTO,2026-03-11
PO-2026-0172,P006,A46990201,4625.04,ABIERTO,2026-02-13
PO-2026-0173,P008,B91455230,8970.9,ABIERTO,2026-04-08
PO-2026-0174,P011,B90233808,7319.99,ABIERTO,2026-05-09
PO-2026-0175,P005,B96233419,809.1,ABIERTO,2026-04-10
PO-2026-0176,P007,J40112358,7486.85,ABIERTO,2026-05-20
PO-2026-0177,P005,B96233419,4635.26,ABIERTO,2026-05-28
PO-2026-0179,P001,B46102331,10391.73,ABIERTO,2026-04-21
PO-2026-0180,P010,B98455101,1630.35,ABIERTO,2026-01-24
PO-2026-0181,P006,A46990201,4881.84,ABIERTO,2026-07-11
PO-2026-0182,P008,B91455230,7706.48,ABIERTO,2026-04-25
PO-2026-0183,P005,B96233419,7022.08,ABIERTO,2026-03-07
PO-2026-0184,P011,B90233808,1047.51,ABIERTO,2026-01-17
PO-2026-0185,P011,B90233808,9910.67,ABIERTO,2026-05-31
PO-2026-0186,P004,B98120774,4807.02,ABIERTO,2026-02-13
PO-2026-0187,P010,B98455101,1281.64,ABIERTO,2026-06-03
PO-2026-0188,P001,B46102331,1030.52,ABIERTO,2026-03-18
PO-2026-0189,P003,B30455812,3349.33,ABIERTO,2026-04-03
PO-2026-0190,P007,J40112358,1154.04,ABIERTO,2026-05-07
PO-2026-0191,P001,B46102331,7014.56,ABIERTO,2026-01-18
PO-2026-0192,P005,B96233419,2873.25,ABIERTO,2026-01-21
PO-2026-0193,P011,B90233808,9261.24,ABIERTO,2026-07-26
PO-2026-0194,P002,A41220987,10707.36,ABIERTO,2026-07-20
PO-2026-0195,P006,A46990201,5681.76,ABIERTO,2026-01-23
PO-2026-0196,P003,B30455812,218.79,ABIERTO,2026-03-05
PO-2026-0197,P006,A46990201,6570.88,ABIERTO,2026-06-02
PO-2026-0199,P005,B96233419,2464.71,ABIERTO,2026-03-15
PO-2026-0200,P011,B90233808,3935.94,ABIERTO,2026-06-21
PO-2026-0201,P011,B90233808,8896.459999999999,ABIERTO,2026-05-18
PO-2026-0202,P007,J40112358,7767.75,ABIERTO,2026-06-06
PO-2026-0203,P007,J40112358,5127.99,ABIERTO,2026-05-03
PO-2026-0204,P010,B98455101,5513.53,ABIERTO,2026-04-16
PO-2026-0205,P003,B30455812,10030.69,ABIERTO,2026-04-22
PO-2026-0206,P006,A46990201,9605.219999999999,ABIERTO,2026-03-03
PO-2026-0207,P005,B96233419,8256.190000000001,ABIERTO,2026-07-04
PO-2026-0208,P002,A41220987,10526.76,ABIERTO,2026-07-14
PO-2026-0209,P006,A46990201,1709.68,ABIERTO,2026-05-21
PO-2026-0210,P004,B98120774,9713.780000000001,ABIERTO,2026-02-05
PO-2026-0211,P010,B98455101,930.66,ABIERTO,2026-01-26
PO-2026-0213,P006,A46990201,7144.28,ABIERTO,2026-01-31
PO-2026-0214,P002,A41220987,10125.39,ABIERTO,2026-02-04
PO-2026-0215,P008,B91455230,10294.32,ABIERTO,2026-03-16
PO-2026-0216,P010,B98455101,3157.76,ABIERTO,2026-03-12
PO-2026-0217,P007,J40112358,2802.51,ABIERTO,2026-02-07
PO-2026-0218,P009,A46311208,3758.01,ABIERTO,2026-02-14
PO-2026-0219,P006,A46990201,10839.94,ABIERTO,2026-04-28
PO-2026-0220,P009,A46311208,2784.62,ABIERTO,2026-01-24
PO-2026-0221,P011,B90233808,2559.32,ABIERTO,2026-05-05
PO-2026-0222,P007,J40112358,1705.37,ABIERTO,2026-01-26
PO-2026-0223,P008,B91455230,7327.12,ABIERTO,2026-04-29
PO-2026-0224,P009,A46311208,6076.67,ABIERTO,2026-06-16
PO-2026-0225,P003,B30455812,9468.860000000001,ABIERTO,2026-03-19
PO-2026-0226,P001,B46102331,9837.02,ABIERTO,2026-05-11
PO-2026-0227,P011,B90233808,8074.1,ABIERTO,2026-06-22
PO-2026-0228,P008,B91455230,1280.77,ABIERTO,2026-04-15
PO-2026-0229,P003,B30455812,3980.85,ABIERTO,2026-04-12
PO-2026-0231,P010,B98455101,9610.92,ABIERTO,2026-07-15
PO-2026-0232,P011,B90233808,4699.81,ABIERTO,2026-06-26
PO-2026-0233,P011,B90233808,4977.71,ABIERTO,2026-07-13
PO-2026-0234,P003,B30455812,8586.93,ABIERTO,2026-03-12
PO-2026-0236,P006,A46990201,6777.96,ABIERTO,2026-02-22
PO-2026-0238,P002,A41220987,9661.77,ABIERTO,2026-04-11
PO-2026-0239,P006,A46990201,6822.49,ABIERTO,2026-06-01
PO-2026-0240,P002,A41220987,8993.85,ABIERTO,2026-05-20
PO-2026-0241,P005,B96233419,10837.51,ABIERTO,2026-06-29
PO-2026-0242,P007,J40112358,6880.08,ABIERTO,2026-04-17
PO-2026-0243,P010,B98455101,8840.34,ABIERTO,2026-04-12
PO-2026-0246,P002,A41220987,5315.22,ABIERTO,2026-06-27
PO-2026-0247,P003,B30455812,5712.39,ABIERTO,2026-05-22
PO-2026-0248,P008,B91455230,1633.68,ABIERTO,2026-04-12
PO-2026-0249,P007,J40112358,2872.55,ABIERTO,2026-07-07
PO-2026-0250,P004,B98120774,4133.98,ABIERTO,2026-07-10
PO-2026-0251,P007,J40112358,8829.549999999999,ABIERTO,2026-06-20
PO-2026-0252,P002,A41220987,3841.83,ABIERTO,2026-02-07
PO-2026-0253,P010,B98455101,10079.53,ABIERTO,2026-03-21
PO-2026-0254,P003,B30455812,8956.860000000001,ABIERTO,2026-01-20
PO-2026-0255,P007,J40112358,2706.64,ABIERTO,2026-04-27
PO-2026-0256,P005,B96233419,8245.02,ABIERTO,2026-06-07
PO-2026-0257,P010,B98455101,600.54,ABIERTO,2026-06-25
PO-2026-0258,P001,B46102331,7312.91,ABIERTO,2026-03-24
PO-2026-0259,P004,B98120774,6549.12,ABIERTO,2026-06-27
PO-2026-0260,P005,B96233419,8332.24,ABIERTO,2026-02-19
PO-2026-0261,P005,B96233419,9872,ABIERTO,2026-01-29
PO-2026-0262,P004,B98120774,609.01,ABIERTO,2026-07-10
PO-2026-0263,P004,B98120774,7484.25,ABIERTO,2026-05-03
PO-2026-0264,P011,B90233808,5131.77,ABIERTO,2026-05-05
PO-2026-0265,P006,A46990201,7379.62,ABIERTO,2026-03-18
PO-2026-0266,P004,B98120774,5039.34,ABIERTO,2026-01-16
PO-2026-0267,P011,B90233808,5152.75,ABIERTO,2026-03-16
PO-2026-0268,P001,B46102331,8139.39,ABIERTO,2026-05-14
PO-2026-0269,P005,B96233419,3405.46,ABIERTO,2026-04-07
PO-2026-0270,P004,B98120774,2771.44,ABIERTO,2026-06-23
PO-2026-0271,P006,A46990201,4956.41,ABIERTO,2026-06-23
PO-2026-0273,P008,B91455230,901.7,ABIERTO,2026-07-15
PO-2026-0275,P006,A46990201,8854.09,ABIERTO,2026-01-27
PO-2026-0276,P001,B46102331,1380.63,ABIERTO,2026-06-20
PO-2026-0277,P008,B91455230,2307.36,ABIERTO,2026-04-01
PO-2026-0278,P001,B46102331,3630.97,ABIERTO,2026-07-03
PO-2026-0279,P001,B46102331,9018.48,ABIERTO,2026-02-21
PO-2026-0281,P001,B46102331,1220.99,ABIERTO,2026-05-06
PO-2026-0282,P010,B98455101,3605.4,ABIERTO,2026-01-30
PO-2026-0283,P010,B98455101,10868.04,ABIERTO,2026-03-15
PO-2026-0284,P007,J40112358,5587.01,ABIERTO,2026-01-28
PO-2026-0285,P001,B46102331,5881.35,ABIERTO,2026-03-22
PO-2026-0286,P007,J40112358,5006.46,ABIERTO,2026-02-01
PO-2026-0288,P001,B46102331,6927,ABIERTO,2026-07-05
PO-2026-0289,P003,B30455812,8339.629999999999,ABIERTO,2026-07-23
PO-2026-0290,P008,B91455230,4510.4,ABIERTO,2026-07-28
PO-2026-0291,P004,B98120774,3587.81,ABIERTO,2026-07-15
PO-2026-0292,P006,A46990201,1453.81,ABIERTO,2026-03-14
PO-2026-0293,P004,B98120774,258.82,ABIERTO,2026-02-02
PO-2026-0294,P001,B46102331,4435.57,ABIERTO,2026-02-25
PO-2026-0295,P011,B90233808,7420.08,ABIERTO,2026-06-05
PO-2026-0296,P004,B98120774,3642.55,ABIERTO,2026-05-09
PO-2026-0298,P002,A41220987,4032.22,ABIERTO,2026-01-30
PO-2026-0299,P007,J40112358,6816.61,ABIERTO,2026-01-24
PO-2026-0300,P003,B30455812,3211.7,ABIERTO,2026-07-14
PO-2026-0301,P008,B91455230,9224.190000000001,ABIERTO,2026-07-01
PO-2026-0302,P007,J40112358,2649.69,ABIERTO,2026-07-03
PO-2026-0303,P008,B91455230,7299.02,ABIERTO,2026-02-22
PO-2026-0304,P001,B46102331,8602.190000000001,ABIERTO,2026-07-23
PO-2026-0305,P003,B30455812,926.5599999999999,ABIERTO,2026-03-08
PO-2026-0306,P006,A46990201,322.74,ABIERTO,2026-06-19
PO-2026-0307,P002,A41220987,3769.84,ABIERTO,2026-03-13
PO-2026-0308,P008,B91455230,2044.84,ABIERTO,2026-06-28
PO-2026-0310,P003,B30455812,1189.6,ABIERTO,2026-04-05
PO-2026-0311,P010,B98455101,2316.97,ABIERTO,2026-02-04
PO-2026-0312,P002,A41220987,10252.14,ABIERTO,2026-06-10
PO-2026-0313,P007,J40112358,3187.82,ABIERTO,2026-06-20
PO-2026-0315,P002,A41220987,3060.79,ABIERTO,2026-02-13
PO-2026-0316,P003,B30455812,444.02,ABIERTO,2026-04-10
PO-2026-0317,P011,B90233808,313.93,ABIERTO,2026-07-16
PO-2026-0318,P007,J40112358,3068.23,ABIERTO,2026-01-14
PO-2026-0319,P002,A41220987,4921.83,ABIERTO,2026-01-10
PO-2026-0320,P002,A41220987,2276.84,ABIERTO,2026-06-21
PO-2026-0321,P004,B98120774,1421.56,ABIERTO,2026-06-28
PO-2026-0322,P001,B46102331,831.91,ABIERTO,2026-05-31
PO-2026-0323,P005,B96233419,1374.77,ABIERTO,2026-04-20
PO-2026-0324,P002,A41220987,8305.57,ABIERTO,2026-05-11
PO-2026-0325,P007,J40112358,5643.04,ABIERTO,2026-04-19
PO-2026-0326,P011,B90233808,589.46,ABIERTO,2026-02-18
PO-2026-0327,P003,B30455812,765.54,ABIERTO,2026-01-11
PO-2026-0328,P002,A41220987,2445.65,ABIERTO,2026-03-21
PO-2026-0329,P005,B96233419,2505.69,ABIERTO,2026-06-24
PO-2026-0330,P002,A41220987,9177.139999999999,ABIERTO,2026-07-22
PO-2026-0331,P011,B90233808,2971.05,ABIERTO,2026-03-03
PO-2026-0332,P008,B91455230,8467.450000000001,ABIERTO,2026-06-26
PO-2026-0333,P003,B30455812,10409.16,ABIERTO,2026-05-17
PO-2026-0334,P010,B98455101,4616.57,ABIERTO,2026-04-30
PO-2026-0335,P008,B91455230,2457.66,ABIERTO,2026-05-30
PO-2026-0337,P008,B91455230,1025.26,ABIERTO,2026-02-14
PO-2026-0338,P010,B98455101,8031.76,ABIERTO,2026-02-23
PO-2026-0339,P011,B90233808,6114.09,ABIERTO,2026-03-26
PO-2026-0340,P004,B98120774,5972.57,ABIERTO,2026-05-02
PO-2026-0341,P001,B46102331,295.87,ABIERTO,2026-05-24
PO-2026-0342,P003,B30455812,5463.79,ABIERTO,2026-05-03
PO-2026-0344,P004,B98120774,2899.09,ABIERTO,2026-03-23
PO-2026-0345,P004,B98120774,4563.49,ABIERTO,2026-04-08
PO-2026-0346,P001,B46102331,10012.48,ABIERTO,2026-03-01
PO-2026-0347,P003,B30455812,3387.95,ABIERTO,2026-03-20
PO-2026-0348,P002,A41220987,2057.91,ABIERTO,2026-06-01
PO-2026-0349,P004,B98120774,262.74,ABIERTO,2026-04-21
PO-2026-0350,P010,B98455101,5760.11,ABIERTO,2026-04-27
PO-2026-0351,P001,B46102331,3474.74,ABIERTO,2026-05-22
PO-2026-0352,P005,B96233419,1027.21,ABIERTO,2026-05-07
PO-2026-0353,P005,B96233419,1724.77,ABIERTO,2026-01-12
PO-2026-0354,P002,A41220987,6341.13,ABIERTO,2026-03-09
PO-2026-0356,P006,A46990201,4941.24,ABIERTO,2026-03-26
PO-2026-0358,P007,J40112358,3624.87,ABIERTO,2026-06-27
PO-2026-0359,P005,B96233419,5803.12,ABIERTO,2026-04-28
PO-2026-0360,P008,B91455230,3961.15,ABIERTO,2026-02-05
PO-2026-0362,P008,B91455230,8380.610000000001,ABIERTO,2026-02-14
PO-2026-0363,P003,B30455812,9605.809999999999,ABIERTO,2026-05-21
PO-2026-0364,P008,B91455230,1086.71,ABIERTO,2026-01-31
PO-2026-0365,P006,A46990201,5823.1,ABIERTO,2026-02-27
PO-2026-0367,P008,B91455230,4819.83,ABIERTO,2026-05-03
PO-2026-0368,P007,J40112358,1378.75,ABIERTO,2026-07-15
PO-2026-0369,P006,A46990201,3169.55,ABIERTO,2026-05-17
PO-2026-0372,P008,B91455230,8480.950000000001,ABIERTO,2026-04-30
PO-2026-0373,P003,B30455812,6757.38,ABIERTO,2026-05-20
PO-2026-0374,P011,B90233808,9511.1,ABIERTO,2026-04-23
PO-2026-0375,P003,B30455812,7060.56,ABIERTO,2026-04-07
PO-2026-0377,P001,B46102331,9481.809999999999,ABIERTO,2026-03-31
PO-2026-0379,P001,B46102331,8107.54,ABIERTO,2026-07-21
PO-2026-0381,P002,A41220987,6313.21,ABIERTO,2026-05-30
PO-2026-0382,P002,A41220987,4995.44,ABIERTO,2026-03-26
PO-2026-0383,P002,A41220987,3536.27,ABIERTO,2026-06-08
PO-2026-0384,P011,B90233808,535.35,ABIERTO,2026-04-27
PO-2026-0385,P003,B30455812,5255.42,ABIERTO,2026-02-19
PO-2026-0387,P004,B98120774,3326.22,ABIERTO,2026-01-25
PO-2026-0388,P008,B91455230,1611.87,ABIERTO,2026-03-29
PO-2026-0389,P008,B91455230,10868.79,ABIERTO,2026-01-29
PO-2026-0390,P003,B30455812,6535.08,ABIERTO,2026-06-01
PO-2026-0391,P006,A46990201,3604.8,ABIERTO,2026-03-24
PO-2026-0392,P011,B90233808,6174.96,ABIERTO,2026-03-18
PO-2026-0393,P010,B98455101,4448.34,ABIERTO,2026-02-22
PO-2026-0394,P008,B91455230,2359,ABIERTO,2026-03-07
PO-2026-0395,P006,A46990201,2936.19,ABIERTO,2026-02-09
PO-2026-0396,P008,B91455230,2098.54,ABIERTO,2026-06-18
PO-2026-0397,P005,B96233419,4587.55,ABIERTO,2026-03-17
PO-2026-0398,P003,B30455812,4316.18,ABIERTO,2026-05-16
PO-2026-0399,P001,B46102331,9831.700000000001,ABIERTO,2026-05-10
PO-2026-0402,P006,A46990201,7223.4,ABIERTO,2026-02-15
PO-2026-0403,P006,A46990201,4290.65,ABIERTO,2026-03-17
PO-2026-0404,P011,B90233808,1719.01,ABIERTO,2026-07-25
PO-2026-0405,P006,A46990201,1166.97,ABIERTO,2026-05-04
PO-2026-0407,P004,B98120774,1921.19,ABIERTO,2026-03-09
PO-2026-0409,P004,B98120774,8396.940000000001,ABIERTO,2026-05-30
PO-2026-0410,P001,B46102331,8091.65,ABIERTO,2026-05-04
PO-2026-0411,P002,A41220987,353.96,ABIERTO,2026-03-16
PO-2026-0412,P001,B46102331,6433.78,ABIERTO,2026-03-15
PO-2026-0413,P001,B46102331,9375.940000000001,ABIERTO,2026-07-07
PO-2026-0414,P004,B98120774,2077.03,ABIERTO,2026-03-05
PO-2026-0415,P005,B96233419,5351.5,ABIERTO,2026-01-24
PO-2026-0416,P005,B96233419,7633.04,ABIERTO,2026-06-22
PO-2026-0417,P004,B98120774,1406.65,ABIERTO,2026-04-09
PO-2026-0419,P002,A41220987,1777.99,ABIERTO,2026-03-22
PO-2026-0420,P007,J40112358,6670.57,ABIERTO,2026-06-29
PO-2026-0421,P001,B46102331,3068.87,ABIERTO,2026-04-27
PO-2026-0422,P006,A46990201,8158.61,ABIERTO,2026-06-30
PO-2026-0423,P007,J40112358,10453.02,ABIERTO,2026-02-19
PO-2026-0424,P003,B30455812,4581.22,ABIERTO,2026-05-12
PO-2026-0425,P001,B46102331,7891.15,ABIERTO,2026-03-18
PO-2026-0426,P003,B30455812,4657.82,ABIERTO,2026-06-24
PO-2026-0427,P004,B98120774,10254.83,ABIERTO,2026-04-06
PO-2026-0428,P011,B90233808,5240.92,ABIERTO,2026-01-24
PO-2026-0429,P004,B98120774,4023.73,ABIERTO,2026-07-10
PO-2026-0430,P011,B90233808,9976.09,ABIERTO,2026-04-30
PO-2026-0431,P004,B98120774,8751.43,ABIERTO,2026-03-08
